Jurisdiction,Value,Race/ ethnicity,Year,Measure
Allegany,26.4,All races/ ethnicities (aggregated),2017,Adults who smoke
Allegany,22.8,White Non-Hispanic,2017,Adults who smoke
Allegany,15.6,All races/ ethnicities (aggregated),2016,Adults who smoke
Allegany,14.1,White Non-Hispanic,2016,Adults who smoke
Allegany,22.1,All races/ ethnicities (aggregated),2015,Adults who smoke
Allegany,23.6,White Non-Hispanic,2015,Adults who smoke
Allegany,18.7,All races/ ethnicities (aggregated),2014,Adults who smoke
Allegany,19.9,White Non-Hispanic,2014,Adults who smoke
Allegany,24.4,All races/ ethnicities (aggregated),2013,Adults who smoke
Allegany,24.8,White Non-Hispanic,2013,Adults who smoke
Allegany,24.4,All races/ ethnicities (aggregated),2012,Adults who smoke
Allegany,25.2,White Non-Hispanic,2012,Adults who smoke
Allegany,24.2,All races/ ethnicities (aggregated),2011,Adults who smoke
Allegany,20.9,White Non-Hispanic,2011,Adults who smoke
Anne Arundel,16.5,All races/ ethnicities (aggregated),2017,Adults who smoke
Anne Arundel,16,White Non-Hispanic,2017,Adults who smoke
Anne Arundel,13.7,All races/ ethnicities (aggregated),2016,Adults who smoke
Anne Arundel,14.1,White Non-Hispanic,2016,Adults who smoke
Anne Arundel,14.9,All races/ ethnicities (aggregated),2015,Adults who smoke
Anne Arundel,17.1,White Non-Hispanic,2015,Adults who smoke
Anne Arundel,15.5,All races/ ethnicities (aggregated),2014,Adults who smoke
Anne Arundel,13.3,Black Non-Hispanic,2014,Adults who smoke
Anne Arundel,16.3,White Non-Hispanic,2014,Adults who smoke
Anne Arundel,18,All races/ ethnicities (aggregated),2013,Adults who smoke
Anne Arundel,10.6,Black Non-Hispanic,2013,Adults who smoke
Anne Arundel,19,White Non-Hispanic,2013,Adults who smoke
Anne Arundel,18.1,All races/ ethnicities (aggregated),2012,Adults who smoke
Anne Arundel,12.6,Black Non-Hispanic,2012,Adults who smoke
Anne Arundel,18.8,White Non-Hispanic,2012,Adults who smoke
Anne Arundel,22.9,All races/ ethnicities (aggregated),2011,Adults who smoke
Anne Arundel,33.5,Black Non-Hispanic,2011,Adults who smoke
Anne Arundel,23.4,White Non-Hispanic,2011,Adults who smoke
Baltimore City,22.3,All races/ ethnicities (aggregated),2017,Adults who smoke
Baltimore City,25.8,Black Non-Hispanic,2017,Adults who smoke
Baltimore City,19.4,White Non-Hispanic,2017,Adults who smoke
Baltimore City,20.6,All races/ ethnicities (aggregated),2016,Adults who smoke
Baltimore City,20.8,Black Non-Hispanic,2016,Adults who smoke
Baltimore City,22.6,White Non-Hispanic,2016,Adults who smoke
Baltimore City,25.1,All races/ ethnicities (aggregated),2015,Adults who smoke
Baltimore City,28.7,Black Non-Hispanic,2015,Adults who smoke
Baltimore City,25.2,White Non-Hispanic,2015,Adults who smoke
Baltimore City,23.1,All races/ ethnicities (aggregated),2014,Adults who smoke
Baltimore City,28.1,Black Non-Hispanic,2014,Adults who smoke
Baltimore City,17.4,White Non-Hispanic,2014,Adults who smoke
Baltimore City,22.7,All races/ ethnicities (aggregated),2013,Adults who smoke
Baltimore City,27.7,Black Non-Hispanic,2013,Adults who smoke
Baltimore City,14.1,White Non-Hispanic,2013,Adults who smoke
Baltimore City,21.2,All races/ ethnicities (aggregated),2012,Adults who smoke
Baltimore City,25.2,Black Non-Hispanic,2012,Adults who smoke
Baltimore City,18.8,White Non-Hispanic,2012,Adults who smoke
Baltimore City,23.8,All races/ ethnicities (aggregated),2011,Adults who smoke
Baltimore City,23.7,Black Non-Hispanic,2011,Adults who smoke
Baltimore City,22.9,White Non-Hispanic,2011,Adults who smoke
Baltimore County,12.9,All races/ ethnicities (aggregated),2017,Adults who smoke
Baltimore County,14.4,Black Non-Hispanic,2017,Adults who smoke
Baltimore County,13.3,White Non-Hispanic,2017,Adults who smoke
Baltimore County,15,All races/ ethnicities (aggregated),2016,Adults who smoke
Baltimore County,11.8,Black Non-Hispanic,2016,Adults who smoke
Baltimore County,17.7,White Non-Hispanic,2016,Adults who smoke
Baltimore County,12.8,All races/ ethnicities (aggregated),2015,Adults who smoke
Baltimore County,13.7,Black Non-Hispanic,2015,Adults who smoke
Baltimore County,14,White Non-Hispanic,2015,Adults who smoke
Baltimore County,17.7,All races/ ethnicities (aggregated),2014,Adults who smoke
Baltimore County,19.8,Black Non-Hispanic,2014,Adults who smoke
Baltimore County,19.2,White Non-Hispanic,2014,Adults who smoke
Baltimore County,18.4,All races/ ethnicities (aggregated),2013,Adults who smoke
Baltimore County,18.9,Black Non-Hispanic,2013,Adults who smoke
Baltimore County,17.7,White Non-Hispanic,2013,Adults who smoke
Baltimore County,19,All races/ ethnicities (aggregated),2012,Adults who smoke
Baltimore County,16.4,Black Non-Hispanic,2012,Adults who smoke
Baltimore County,22.7,White Non-Hispanic,2012,Adults who smoke
Baltimore County,23.5,All races/ ethnicities (aggregated),2011,Adults who smoke
Baltimore County,22,Black Non-Hispanic,2011,Adults who smoke
Baltimore County,24,White Non-Hispanic,2011,Adults who smoke
Calvert,18.7,All races/ ethnicities (aggregated),2017,Adults who smoke
Calvert,20.2,White Non-Hispanic,2017,Adults who smoke
Calvert,16.2,All races/ ethnicities (aggregated),2016,Adults who smoke
Calvert,17.9,White Non-Hispanic,2016,Adults who smoke
Calvert,15.5,All races/ ethnicities (aggregated),2015,Adults who smoke
Calvert,13.7,White Non-Hispanic,2015,Adults who smoke
Calvert,19.2,All races/ ethnicities (aggregated),2014,Adults who smoke
Calvert,20.6,White Non-Hispanic,2014,Adults who smoke
Calvert,17.2,All races/ ethnicities (aggregated),2013,Adults who smoke
Calvert,17.1,White Non-Hispanic,2013,Adults who smoke
Calvert,18.9,All races/ ethnicities (aggregated),2012,Adults who smoke
Calvert,16.7,White Non-Hispanic,2012,Adults who smoke
Calvert,19,All races/ ethnicities (aggregated),2011,Adults who smoke
Calvert,19.3,White Non-Hispanic,2011,Adults who smoke
Caroline,23.9,All races/ ethnicities (aggregated),2017,Adults who smoke
Caroline,23.6,White Non-Hispanic,2017,Adults who smoke
Caroline,27.9,All races/ ethnicities (aggregated),2016,Adults who smoke
Caroline,29.9,White Non-Hispanic,2016,Adults who smoke
